Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753615108,100,,Aggregated,1.800000,1.700000,5700,6700,7300,7900,10000,121000,133000,136000,150000,151000,151000,1433,1320,5700.0,12241.787569085407,11.201874993275851,150862.15529200854,3288.4012561060713
1753615109,100,,Aggregated,1.800000,1.600000,5700,6700,7300,7900,10000,121000,133000,136000,150000,151000,151000,1436,1323,5700.0,12226.913636663936,11.201874993275851,150862.15529200854,3284.4874651810583
1753615110,100,,Aggregated,1.800000,1.600000,5700,6700,7300,7900,10000,121000,133000,136000,150000,151000,151000,1437,1324,5700.0,12218.414426380235,11.201874993275851,150862.15529200854,3282.266527487822
1753615111,100,,Aggregated,2.300000,2.100000,5700,6700,7300,7900,10000,121000,133000,136000,150000,151000,151000,1438,1325,5700.0,12213.91369033965,11.201874993275851,150862.15529200854,3280.9680111265648
1753615112,100,,Aggregated,2.300000,2.100000,5700,6700,7300,7900,10000,121000,133000,136000,150000,151000,151000,1438,1325,5700.0,12213.91369033965,11.201874993275851,150862.15529200854,3280.9680111265648
1753615113,100,,Aggregated,2.100000,1.900000,5700,6700,7300,7900,10000,121000,133000,136000,150000,151000,151000,1440,1327,5700.0,12201.160201475968,11.201874993275851,150862.15529200854,3277.4583333333335
1753615114,100,,Aggregated,2.100000,1.900000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1441,1328,5700.0,12197.128081511717,11.201874993275851,150862.15529200854,3276.16585704372
1753615115,100,,Aggregated,1.900000,1.800000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1442,1329,5700.0,12193.535908691665,11.201874993275851,150862.15529200854,3274.875173370319
1753615116,100,,Aggregated,2.100000,2.000000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1444,1331,5700.0,12181.659229166493,11.201874993275851,150862.15529200854,3271.3836565096954
1753615117,100,,Aggregated,1.800000,1.700000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1445,1332,5700.0,12173.237102767756,11.201874993275851,150862.15529200854,3269.184083044983
1753615118,100,,Aggregated,1.900000,1.800000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1447,1334,5700.0,12162.043148957451,11.201874993275851,150862.15529200854,3265.7076710435385
1753615119,100,,Aggregated,1.800000,1.800000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1449,1336,5700.0,12154.740079364687,11.201874993275851,150862.15529200854,3263.153209109731
1753615120,100,,Aggregated,1.500000,1.500000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1451,1338,5700.0,12143.07376355301,11.201874993275851,150862.15529200854,3259.694693314955
1753615121,100,,Aggregated,1.500000,1.500000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1451,1338,5700.0,12143.07376355301,11.201874993275851,150862.15529200854,3259.694693314955
1753615122,100,,Aggregated,1.400000,1.400000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1452,1339,5700.0,12140.55082435084,11.201874993275851,150862.15529200854,3258.4242424242425
1753615123,100,,Aggregated,1.400000,1.400000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1454,1341,5700.0,12130.054158384737,11.201874993275851,150862.15529200854,3254.9793672627234
1753615124,100,,Aggregated,1.400000,1.400000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1454,1341,5700.0,12130.054158384737,11.201874993275851,150862.15529200854,3254.9793672627234
1753615125,100,,Aggregated,1.400000,1.400000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1455,1342,5700.0,12127.97425168894,11.201874993275851,150862.15529200854,3253.7147766323023
1753615126,100,,Aggregated,1.400000,1.400000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1455,1342,5700.0,12127.97425168894,11.201874993275851,150862.15529200854,3253.7147766323023
1753615127,100,,Aggregated,1.300000,1.300000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1457,1344,5700.0,12117.19370907578,11.201874993275851,150862.15529200854,3250.283459162663
1753615128,100,,Aggregated,1.300000,1.300000,5700,6700,7300,7900,10000,117000,133000,136000,150000,151000,151000,1458,1345,5700.0,12108.893697301392,11.201874993275851,150862.15529200854,3248.1179698216733
