test,model,batch_size,floating_point,concurrency,kv_cache,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait
beta,gemma3,1,bf16,1:24:8,4096,9,0.694438,52,754,6288473,52,6518969,72,0,12923933,13359302,13399259,13434803,52,12808313
beta,gemma3,1,bf16,1:24:8,4096,5,0.695982,51,856,2284733,32,4871369,58,0,7178136,7192284,7663571,7691097,51,7157041
beta,gemma3,1,bf16,1:24:8,4096,17,0.697522,54,894,14498014,62,9955439,100,0,24426258,27270785,30156274,32268901,54,24454502
beta,gemma3,1,bf16,1:24:8,4096,1,0.697524,48,808,279,16,1430808,34,0,1436579,1439044,1440900,1915245,48,1431940
beta,gemma3,1,bf16,1:24:8,4096,13,0.700611,53,744,8714871,81,9812659,101,0,18658478,19049234,19117711,19158586,53,18528450
beta,gemma3,1,bf16,1:24:8,4096,21,0.702155,53,833,19065293,81,10504357,107,0,29955597,32785985,33253920,34478680,53,29570664
beta,gemma3,8,bf16,1:24:8,4096,1,4.49378,51,812,285,17,1774582,38,0,1764935,1773617,1774348,1776334,51,1775727
beta,gemma3,8,bf16,1:24:8,4096,9,4.49378,52,741,14067495,15,1778192,36,0,15924754,15952716,17002053,17028749,52,15846471
beta,gemma3,8,bf16,1:24:8,4096,13,4.50613,54,775,21104581,15,1774742,36,0,22995126,23032610,24075307,24088521,54,22880139
beta,gemma3,8,bf16,1:24:8,4096,17,4.50613,52,734,28156188,15,1778428,36,0,30093336,31138725,31154813,31179489,52,29935395
beta,gemma3,8,bf16,1:24:8,4096,5,4.50613,52,771,7046134,15,1778497,36,0,8848509,8862772,8870698,10037434,52,8825443
beta,gemma3,8,bf16,1:24:8,4096,21,4.50613,54,782,35082895,15,1771992,36,0,37033644,38069372,38080168,38104972,54,36855712
beta,mistral,1,bf16,1:24:8,4096,1,0.385799,50,762,281,19,2589985,39,0,2573038,2694056,2706639,2734755,50,2591082
beta,mistral,1,bf16,1:24:8,4096,5,1.81325,50,727,269,17,2759333,36,0,2753201,2823691,2866328,2940306,50,2760377
beta,mistral,1,bf16,1:24:8,4096,13,2.02467,50,822,537949,17,5874448,44,0,4380492,19612875,20399077,21028885,50,6413276
beta,mistral,1,bf16,1:24:8,4096,9,2.03084,50,770,492080,13,3939754,38,0,4116008,5286994,5381582,5563418,50,4432650
beta,mistral,1,bf16,1:24:8,4096,17,2.03239,50,783,571280,21,7747812,50,0,4639157,31442877,31967985,32628815,50,8319941
beta,mistral,1,bf16,1:24:8,4096,21,2.04627,51,703,711346,23,9633416,55,0,5921756,27310514,27883895,29109209,51,10345537
beta,mistral,8,bf16,1:24:8,4096,1,3.0617,52,828,291,21,2605507,42,0,2589265,2701591,2743106,2803012,52,2606681
beta,mistral,8,bf16,1:24:8,4096,5,13.6418,50,802,274,18,2925219,38,0,2917180,3044655,3081821,3164882,50,2926345
beta,mistral,8,bf16,1:24:8,4096,13,14.1727,52,808,2798398,14,4510093,40,0,7054937,8344252,8517723,8761466,52,7309339
beta,mistral,8,bf16,1:24:8,4096,21,14.2097,55,815,7283408,14,4507770,40,0,11831181,12458178,12645560,12886976,55,11792039
beta,mistral,8,bf16,1:24:8,4096,17,14.2221,54,826,5030654,14,4498330,40,0,9455409,10285093,10479674,10741945,54,9529856
beta,mistral,8,bf16,1:24:8,4096,9,14.2344,53,833,557106,14,4491709,39,0,4723330,6395613,6609313,6809049,53,5049691
beta,meta-llama,1,bf16,1:24:8,4096,1,0.371909,50,766,271,18,2691346,40,0,2722669,2764501,2780862,2815467,50,2692435
beta,meta-llama,1,bf16,1:24:8,4096,5,1.31017,52,707,260,17,3819417,36,0,3814646,4135855,4229990,4391432,52,3820431
beta,meta-llama,1,bf16,1:24:8,4096,17,1.59721,52,807,858299,20,9726189,49,0,5900374,26272858,26981742,27397969,52,10585359
beta,meta-llama,1,bf16,1:24:8,4096,21,1.60184,52,814,843456,23,12144965,54,0,6418071,25957171,26483683,26967071,52,12989306
beta,meta-llama,1,bf16,1:24:8,4096,9,1.60338,51,800,621386,14,5000512,37,0,5210561,7917511,8193191,8495939,51,5622743
beta,meta-llama,1,bf16,1:24:8,4096,13,1.60338,53,780,677665,18,7394434,43,0,5502047,25002016,25448520,26876530,53,8072934
beta,meta-llama,8,bf16,1:24:8,4096,1,2.86418,52,790,284,22,2781010,42,0,2796165,2892277,2898140,3040682,52,2782140
beta,meta-llama,8,bf16,1:24:8,4096,5,9.02461,51,776,265,17,4423326,39,0,4403482,4838542,4928625,5139232,51,4424416
beta,meta-llama,8,bf16,1:24:8,4096,13,11.1974,51,815,3533123,14,5707631,39,0,9295557,9864116,10031796,10450724,51,9241617
beta,meta-llama,8,bf16,1:24:8,4096,21,11.2345,53,814,9183189,15,5689091,39,0,15267852,16278095,16470415,16796232,53,14873141
beta,meta-llama,8,bf16,1:24:8,4096,9,11.2715,50,828,702235,14,5665119,39,0,6347029,7085679,7220209,7532230,50,6368229
beta,meta-llama,8,bf16,1:24:8,4096,17,11.2962,53,818,6330172,15,5671328,39,0,11905876,13018412,13232297,13564836,53,12002365
gama,gemma3,1,bf16,1:64:8,128,1,0.651227,49,773,273,16,1534829,35,0,1532803,1549659,1552403,1557941,49,1535922
gama,gemma3,1,bf16,1:64:8,128,41,0.654315,61,969,49156709,79,12149921,101,0,61126042,71025765,73350179,74220282,61,61307771
